Adventure,216397910
Action,198263840
Animation,182719625
Fantasy,170150970
Sci-Fi,143689544
Comedy,97539364
Drama,73380334
Crime,68743776
Western,60855635
Thriller,58121638
Biography,55652941
History,54405950
Family,54254552
War,52599430
Romance,46633429
Mystery,46103957
Horror,44682042
Sport,42954923
Music,15830228
Musical,1826108
Film-Noir,683504
