total_number_of_ratings,rating_score,genre,budget,gross_usa
579557,8.3,Adventure,12000000,60541301
825703,8.3,Drama,10000000,138433435
320984,8.3,Drama,95000000,159227644
1212710,8.3,Adventure,70000000,120540719
885780,8.3,Crime,1200000,2832029
26270,8.6,Drama,3000000,
918644,8.3,Action,32500000,309306177
356920,8.3,Biography,18000000,51973029
157807,8.4,Drama,,1223869
29283,8.5,Crime,,46808
854336,8.3,Animation,30000000,222498679
325853,8.4,Comedy,550000000,6532874
223285,8.3,Adventure,32000000,11487676
933558,8.3,Biography,72000000,75609945
1039312,8.3,Drama,15000000,130096601
340653,8.4,Animation,175000000,209726015
169850,8.4,Animation,370000000,5017246
632464,8.3,Action,18500000,85160248
297747,8.4,Crime,30000000,5321508
724179,8.4,Action,356000000,858373000
1464572,8.4,Action,250000000,448139099
102084,8.4,Crime,3000000,
493881,8.4,Action,3000000,707481
436191,8.4,Comedy,1800000,9440272
323563,8.4,Animation,2400000000,4845631
320227,8.4,Animation,90000000,190241310
192618,8.4,Drama,1752000,299645
963737,8.4,Animation,180000000,223808164
777997,8.5,Action,321000000,678815482
855130,8.4,Drama,19000000,45332952
169551,8.4,Drama,935000,
1299835,8.4,Drama,100000000,162805434
345030,8.4,Drama,2000000,11286112
194294,8.4,Comedy,2000000,
855833,8.4,Action,18000000,248159971
1085697,8.4,Mystery,9000000,25544867
801201,8.5,Crime,55000000,335451311
583013,8.4,Drama,31500000,83471511
758520,8.4,Horror,11000000,81765459
218549,8.5,Drama,5000000,12397210
426290,8.4,Mystery,1000000,36764313
503843,8.5,Drama,950000,4108411
219948,8.5,Animation,3700000,516962
290529,8.5,Western,5000000,
1138225,8.5,Drama,40000000,53089891
678234,8.5,Drama,3300000,13092000
727671,8.5,Biography,9500000,10198820
1145222,8.5,Crime,90000000,132384315
159754,8.5,Comedy,1500000,19181
1291907,8.5,Action,103000000,187705427
577097,8.5,Horror,806947,32000000
207559,8.5,Comedy,1500000,163577
964645,8.5,Action,102000000,205881154
1003607,8.5,Drama,20000000,6719864
1006559,8.5,Adventure,19000000,211159762
697394,8.5,Biography,35000000,32572577
905753,8.5,Animation,45000000,422783777
34542,8.7,Action,,
957668,8.5,Crime,6000000,23341568
994490,8.5,Action,115000000,19501238
1420584,8.6,Adventure,165000000,188020017
1095474,8.6,Crime,60000000,136801374
613267,8.6,Animation,19000000,13750644
419263,8.6,Comedy,11400000,53369749
1188196,8.6,Drama,70000000,217049603
1192800,8.6,Action,11000000,460998507
383589,8.6,Drama,3180000,
1216482,8.6,Crime,19000000,130742922
679468,8.6,Crime,3300000,7564459
597418,8.6,Comedy,20000000,57563264
1382994,8.6,Crime,33000000,100125643
303565,8.6,Action,125000000,318649
881145,8.7,Drama,3000000,108981275
977452,8.7,Biography,25000000,46836214
